SEED 126
INIT_TIME 0
FIN_TIME 10000
ARRIVE_MIN 20
ARRIVE_MAX 80
QUIT_PROB 0.200000
NETWORK_PROB 0.500000
CPU_MIN 5
CPU_MAX 50
DISK1_MIN 50
DISK1_MAX 200
DISK2_MIN 50
DISK2_MAX 200
NETWORK_MIN 300
NETWORK_MAX 500
At time 0, simulations STARTS.
At time 1569, process 33, arrival.
At time 1583, process 32, exits the cpu.
At time 1583, process 32, exits the SYSTEM.
At time 1583, process 33, arrives at cpu.
At time 1591, process 33, exits the cpu.
At time 1604, process 30, exits the disk1.
At time 1604, process 30, arrives at cpu.
At time 1620, process 30, exits the cpu.
At time 1644, process 34, arrival.
At time 1644, process 34, arrives at cpu.
At time 1688, process 34, exits the cpu.
At time 1688, process 34, exits the SYSTEM.
At time 1722, process 35, arrival.
At time 1722, process 35, arrives at cpu.
At time 1765, process 36, arrival.
At time 1770, process 35, exits the cpu.
At time 1770, process 36, arrives at cpu.
At time 1808, process 37, arrival.
At time 1820, process 36, exits the cpu.
At time 1820, process 36, exits the SYSTEM.
At time 1820, process 37, arrives at cpu.
At time 1829, process 37, exits the cpu.
At time 1829, process 37, exits the SYSTEM.
At time 1871, process 38, arrival.
At time 1871, process 38, arrives at cpu.
At time 1886, process 38, exits the cpu.
At time 1886, process 38, arrives at disk1.
At time 1927, process 39, arrival.
At time 1927, process 39, arrives at cpu.
At time 1957, process 40, arrival.
At time 1968, process 12, exits the network.
At time 1968, process 14, arrives at network.
At time 1972, process 38, exits the disk1.
At time 1976, process 39, exits the cpu.
At time 1976, process 40, arrives at cpu.
At time 1981, process 41, arrival.
At time 2001, process 40, exits the cpu.
At time 2001, process 40, arrives at disk1.
At time 2001, process 12, arrives at cpu.
At time 2006, process 42, arrival.
At time 2027, process 12, exits the cpu.
At time 2027, process 43, arrival.
At time 2027, process 12, exits the SYSTEM.
At time 2027, process 38, arrives at cpu.
At time 2060, process 38, exits the cpu.
At time 2060, process 38, exits the SYSTEM.
At time 2060, process 41, arrives at cpu.
At time 2062, process 44, arrival.
At time 2076, process 41, exits the cpu.
At time 2076, process 42, arrives at cpu.
At time 2106, process 40, exits the disk1.
At time 2108, process 42, exits the cpu.
At time 2108, process 42, exits the SYSTEM.
At time 2108, process 43, arrives at cpu.
At time 2113, process 45, arrival.
At time 2131, process 43, exits the cpu.
At time 2131, process 43, exits the SYSTEM.
At time 2131, process 44, arrives at cpu.
At time 2136, process 46, arrival.
At time 2142, process 44, exits the cpu.
At time 2142, process 44, arrives at disk1.
At time 2142, process 40, arrives at cpu.
At time 2154, process 40, exits the cpu.
At time 2154, process 40, exits the SYSTEM.
At time 2154, process 45, arrives at cpu.
At time 2167, process 45, exits the cpu.
At time 2167, process 45, arrives at disk2.
At time 2167, process 46, arrives at cpu.
At time 2169, process 47, arrival.
At time 2190, process 46, exits the cpu.
At time 2190, process 46, exits the SYSTEM.
At time 2190, process 47, arrives at cpu.
At time 2216, process 47, exits the cpu.
At time 2248, process 48, arrival.
At time 2248, process 48, arrives at cpu.
At time 2270, process 49, arrival.
At time 2277, process 44, exits the disk1.
