SEED 126
INIT_TIME 0
FIN_TIME 10000
ARRIVE_MIN 20
ARRIVE_MAX 80
QUIT_PROB 0.200000
NETWORK_PROB 0.500000
CPU_MIN 5
CPU_MAX 50
DISK1_MIN 50
DISK1_MAX 200
DISK2_MIN 50
DISK2_MAX 200
NETWORK_MIN 300
NETWORK_MAX 500
At time 0, simulations STARTS.
At time 6225, process 132, exits the SYSTEM.
At time 6265, process 133, arrival.
At time 6265, process 133, arrives at cpu.
At time 6274, process 133, exits the cpu.
At time 6274, process 133, exits the SYSTEM.
At time 6292, process 30, exits the network.
At time 6292, process 30, arrives at cpu.
At time 6292, process 35, arrives at network.
At time 6303, process 127, exits the disk2.
At time 6303, process 131, arrives at disk2.
At time 6319, process 124, exits the disk1.
At time 6319, process 126, arrives at disk1.
At time 6336, process 134, arrival.
At time 6341, process 30, exits the cpu.
At time 6341, process 30, exits the SYSTEM.
At time 6341, process 127, arrives at cpu.
At time 6358, process 127, exits the cpu.
At time 6358, process 127, exits the SYSTEM.
At time 6358, process 124, arrives at cpu.
At time 6370, process 135, arrival.
At time 6375, process 126, exits the disk1.
At time 6393, process 124, exits the cpu.
At time 6393, process 124, exits the SYSTEM.
At time 6393, process 134, arrives at cpu.
At time 6425, process 134, exits the cpu.
At time 6425, process 135, arrives at cpu.
At time 6428, process 131, exits the disk2.
At time 6449, process 136, arrival.
At time 6455, process 135, exits the cpu.
At time 6455, process 135, exits the SYSTEM.
At time 6455, process 126, arrives at cpu.
At time 6488, process 126, exits the cpu.
At time 6488, process 126, exits the SYSTEM.
At time 6488, process 131, arrives at cpu.
At time 6516, process 137, arrival.
At time 6532, process 131, exits the cpu.
At time 6532, process 131, exits the SYSTEM.
At time 6532, process 136, arrives at cpu.
At time 6552, process 136, exits the cpu.
At time 6552, process 136, exits the SYSTEM.
At time 6552, process 137, arrives at cpu.
At time 6556, process 138, arrival.
At time 6568, process 137, exits the cpu.
At time 6568, process 137, exits the SYSTEM.
At time 6568, process 138, arrives at cpu.
At time 6585, process 139, arrival.
At time 6606, process 140, arrival.
At time 6618, process 138, exits the cpu.
At time 6618, process 139, arrives at cpu.
At time 6649, process 139, exits the cpu.
At time 6649, process 139, arrives at disk1.
At time 6649, process 140, arrives at cpu.
At time 6665, process 35, exits the network.
At time 6665, process 39, arrives at network.
At time 6671, process 141, arrival.
At time 6671, process 140, exits the cpu.
At time 6671, process 140, arrives at disk2.
At time 6671, process 35, arrives at cpu.
At time 6692, process 35, exits the cpu.
At time 6692, process 35, exits the SYSTEM.
At time 6692, process 141, arrives at cpu.
At time 6727, process 141, exits the cpu.
At time 6736, process 142, arrival.
At time 6736, process 142, arrives at cpu.
At time 6759, process 143, arrival.
At time 6759, process 142, exits the cpu.
At time 6759, process 143, arrives at cpu.
At time 6789, process 143, exits the cpu.
At time 6789, process 143, exits the SYSTEM.
At time 6794, process 139, exits the disk1.
At time 6794, process 139, arrives at cpu.
At time 6834, process 144, arrival.
At time 6836, process 139, exits the cpu.
At time 6836, process 139, exits the SYSTEM.
At time 6836, process 144, arrives at cpu.
At time 6863, process 140, exits the disk2.
At time 6863, process 142, arrives at disk2.
At time 6877, process 144, exits the cpu.
At time 6877, process 144, arrives at disk1.
At time 6877, process 140, arrives at cpu.
At time 6898, process 140, exits the cpu.
At time 6898, process 140, exits the SYSTEM.
At time 6908, process 145, arrival.
At time 6908, process 145, arrives at cpu.
At time 6932, process 144, exits the disk1.
At time 6938, process 142, exits the disk2.
At time 6950, process 145, exits the cpu.
At time 6950, process 144, arrives at cpu.
At time 6956, process 146, arrival.
At time 6966, process 144, exits the cpu.
At time 6966, process 144, arrives at disk1.
At time 6966, process 142, arrives at cpu.
At time 7010, process 142, exits the cpu.
At time 7010, process 146, arrives at cpu.
At time 7019, process 147, arrival.
At time 7060, process 146, exits the cpu.
At time 7060, process 146, exits the SYSTEM.
At time 7060, process 147, arrives at cpu.
At time 7065, process 148, arrival.
At time 7084, process 39, exits the network.
At time 7084, process 41, arrives at network.
At time 7090, process 147, exits the cpu.
At time 7090, process 148, arrives at cpu.
At time 7102, process 148, exits the cpu.
At time 7102, process 148, exits the SYSTEM.
At time 7102, process 39, arrives at cpu.
At time 7109, process 149, arrival.
At time 7127, process 39, exits the cpu.
At time 7127, process 39, exits the SYSTEM.
At time 7127, process 149, arrives at cpu.
At time 7144, process 144, exits the disk1.
At time 7169, process 150, arrival.
At time 7172, process 149, exits the cpu.
At time 7172, process 149, exits the SYSTEM.
At time 7172, process 144, arrives at cpu.
At time 7188, process 144, exits the cpu.
At time 7188, process 150, arrives at cpu.
At time 7221, process 150, exits the cpu.
At time 7248, process 151, arrival.
At time 7248, process 151, arrives at cpu.
At time 7253, process 151, exits the cpu.
At time 7253, process 151, exits the SYSTEM.
At time 7311, process 152, arrival.
At time 7311, process 152, arrives at cpu.
At time 7327, process 152, exits the cpu.
At time 7384, process 153, arrival.
At time 7384, process 153, arrives at cpu.
At time 7428, process 154, arrival.
At time 7428, process 153, exits the cpu.
At time 7428, process 153, exits the SYSTEM.
At time 7428, process 154, arrives at cpu.
At time 7466, process 154, exits the cpu.
At time 7486, process 155, arrival.
At time 7486, process 155, arrives at cpu.
At time 7494, process 155, exits the cpu.
At time 7494, process 155, exits the SYSTEM.
At time 7531, process 41, exits the network.
At time 7531, process 41, arrives at cpu.
At time 7531, process 55, arrives at network.
At time 7557, process 156, arrival.
At time 7576, process 41, exits the cpu.
At time 7576, process 41, exits the SYSTEM.
At time 7576, process 156, arrives at cpu.
At time 7603, process 157, arrival.
At time 7607, process 156, exits the cpu.
At time 7607, process 157, arrives at cpu.
At time 7647, process 158, arrival.
At time 7648, process 157, exits the cpu.
At time 7648, process 157, exits the SYSTEM.
At time 7648, process 158, arrives at cpu.
At time 7671, process 158, exits the cpu.
At time 7671, process 158, exits the SYSTEM.
At time 7678, process 159, arrival.
At time 7678, process 159, arrives at cpu.
At time 7700, process 160, arrival.
At time 7717, process 159, exits the cpu.
At time 7717, process 159, arrives at disk1.
At time 7717, process 160, arrives at cpu.
At time 7732, process 160, exits the cpu.
At time 7732, process 160, exits the SYSTEM.
At time 7760, process 161, arrival.
At time 7760, process 161, arrives at cpu.
At time 7785, process 162, arrival.
At time 7808, process 161, exits the cpu.
At time 7808, process 161, exits the SYSTEM.
At time 7808, process 162, arrives at cpu.
At time 7820, process 163, arrival.
At time 7837, process 162, exits the cpu.
At time 7837, process 162, exits the SYSTEM.
At time 7837, process 163, arrives at cpu.
At time 7849, process 164, arrival.
At time 7852, process 163, exits the cpu.
At time 7852, process 163, exits the SYSTEM.
At time 7852, process 164, arrives at cpu.
At time 7873, process 159, exits the disk1.
At time 7879, process 55, exits the network.
At time 7879, process 11, arrives at network.
At time 7890, process 165, arrival.
At time 7901, process 164, exits the cpu.
At time 7901, process 164, exits the SYSTEM.
At time 7901, process 159, arrives at cpu.
At time 7910, process 166, arrival.
At time 7942, process 159, exits the cpu.
At time 7942, process 159, exits the SYSTEM.
At time 7942, process 55, arrives at cpu.
At time 7956, process 167, arrival.
At time 7983, process 55, exits the cpu.
At time 7983, process 165, arrives at cpu.
At time 7999, process 165, exits the cpu.
At time 7999, process 165, arrives at disk1.
At time 7999, process 166, arrives at cpu.
At time 8007, process 166, exits the cpu.
At time 8007, process 166, exits the SYSTEM.
At time 8007, process 167, arrives at cpu.
At time 8019, process 167, exits the cpu.
At time 8019, process 167, exits the SYSTEM.
At time 8021, process 168, arrival.
At time 8021, process 168, arrives at cpu.
At time 8057, process 169, arrival.
At time 8064, process 165, exits the disk1.
At time 8071, process 168, exits the cpu.
At time 8071, process 168, arrives at disk1.
At time 8071, process 169, arrives at cpu.
At time 8098, process 170, arrival.
At time 8113, process 169, exits the cpu.
At time 8113, process 169, arrives at disk2.
At time 8113, process 165, arrives at cpu.
At time 8122, process 165, exits the cpu.
At time 8122, process 165, exits the SYSTEM.
At time 8122, process 170, arrives at cpu.
At time 8131, process 171, arrival.
At time 8155, process 172, arrival.
At time 8164, process 170, exits the cpu.
At time 8164, process 171, arrives at cpu.
At time 8197, process 171, exits the cpu.
At time 8197, process 172, arrives at cpu.
At time 8218, process 173, arrival.
At time 8240, process 172, exits the cpu.
At time 8240, process 172, exits the SYSTEM.
At time 8240, process 173, arrives at cpu.
At time 8245, process 169, exits the disk2.
At time 8250, process 173, exits the cpu.
At time 8250, process 173, exits the SYSTEM.
At time 8250, process 169, arrives at cpu.
At time 8264, process 169, exits the cpu.
At time 8268, process 168, exits the disk1.
At time 8268, process 168, arrives at cpu.
At time 8268, process 171, arrives at disk1.
At time 8269, process 11, exits the network.
At time 8269, process 66, arrives at network.
At time 8278, process 168, exits the cpu.
At time 8278, process 11, arrives at cpu.
At time 8284, process 174, arrival.
At time 8328, process 11, exits the cpu.
At time 8328, process 174, arrives at cpu.
At time 8351, process 175, arrival.
At time 8375, process 174, exits the cpu.
At time 8375, process 175, arrives at cpu.
At time 8394, process 175, exits the cpu.
At time 8394, process 175, arrives at disk2.
At time 8395, process 176, arrival.
At time 8395, process 176, arrives at cpu.
At time 8411, process 176, exits the cpu.
At time 8430, process 171, exits the disk1.
At time 8430, process 171, arrives at cpu.
At time 8433, process 177, arrival.
At time 8475, process 171, exits the cpu.
At time 8475, process 171, exits the SYSTEM.
At time 8475, process 177, arrives at cpu.
At time 8487, process 178, arrival.
At time 8515, process 177, exits the cpu.
At time 8515, process 177, arrives at disk1.
At time 8515, process 178, arrives at cpu.
At time 8538, process 178, exits the cpu.
At time 8557, process 175, exits the disk2.
At time 8557, process 175, arrives at cpu.
At time 8558, process 179, arrival.
At time 8596, process 180, arrival.
At time 8607, process 175, exits the cpu.
At time 8607, process 179, arrives at cpu.
At time 8636, process 181, arrival.
At time 8637, process 66, exits the network.
At time 8637, process 67, arrives at network.
At time 8648, process 179, exits the cpu.
At time 8648, process 179, exits the SYSTEM.
At time 8648, process 180, arrives at cpu.
At time 8686, process 177, exits the disk1.
At time 8691, process 180, exits the cpu.
At time 8691, process 181, arrives at cpu.
At time 8692, process 182, arrival.
At time 8697, process 181, exits the cpu.
At time 8697, process 66, arrives at cpu.
At time 8715, process 66, exits the cpu.
At time 8715, process 66, arrives at disk1.
At time 8715, process 177, arrives at cpu.
At time 8721, process 177, exits the cpu.
At time 8721, process 177, exits the SYSTEM.
At time 8721, process 182, arrives at cpu.
At time 8739, process 182, exits the cpu.
At time 8739, process 182, exits the SYSTEM.
At time 8754, process 183, arrival.
At time 8754, process 183, arrives at cpu.
At time 8773, process 183, exits the cpu.
At time 8773, process 183, exits the SYSTEM.
At time 8797, process 184, arrival.
At time 8797, process 184, arrives at cpu.
At time 8798, process 66, exits the disk1.
At time 8822, process 185, arrival.
At time 8828, process 184, exits the cpu.
At time 8828, process 184, arrives at disk1.
At time 8828, process 66, arrives at cpu.
At time 8842, process 66, exits the cpu.
At time 8842, process 66, exits the SYSTEM.
At time 8842, process 185, arrives at cpu.
At time 8865, process 186, arrival.
At time 8865, process 185, exits the cpu.
At time 8865, process 185, exits the SYSTEM.
At time 8865, process 186, arrives at cpu.
At time 8882, process 186, exits the cpu.
At time 8911, process 187, arrival.
At time 8911, process 187, arrives at cpu.
At time 8930, process 184, exits the disk1.
At time 8961, process 187, exits the cpu.
At time 8961, process 184, arrives at cpu.
At time 8988, process 188, arrival.
At time 9006, process 184, exits the cpu.
At time 9006, process 184, arrives at disk1.
At time 9006, process 188, arrives at cpu.
At time 9030, process 189, arrival.
At time 9035, process 188, exits the cpu.
At time 9035, process 188, arrives at disk2.
At time 9035, process 189, arrives at cpu.
At time 9052, process 67, exits the network.
At time 9052, process 18, arrives at network.
At time 9063, process 189, exits the cpu.
At time 9063, process 67, arrives at cpu.
At time 9071, process 190, arrival.
At time 9087, process 67, exits the cpu.
At time 9087, process 67, exits the SYSTEM.
At time 9087, process 190, arrives at cpu.
At time 9117, process 191, arrival.
At time 9130, process 190, exits the cpu.
At time 9130, process 191, arrives at cpu.
At time 9143, process 192, arrival.
At time 9151, process 184, exits the disk1.
At time 9151, process 191, exits the cpu.
At time 9151, process 191, exits the SYSTEM.
At time 9151, process 192, arrives at cpu.
At time 9166, process 193, arrival.
At time 9178, process 192, exits the cpu.
At time 9178, process 184, arrives at cpu.
At time 9183, process 184, exits the cpu.
At time 9183, process 184, exits the SYSTEM.
At time 9183, process 193, arrives at cpu.
At time 9203, process 193, exits the cpu.
At time 9203, process 193, exits the SYSTEM.
At time 9224, process 188, exits the disk2.
At time 9224, process 188, arrives at cpu.
At time 9244, process 194, arrival.
At time 9245, process 188, exits the cpu.
At time 9245, process 188, exits the SYSTEM.
At time 9245, process 194, arrives at cpu.
At time 9257, process 194, exits the cpu.
At time 9257, process 194, arrives at disk1.
At time 9305, process 195, arrival.
At time 9305, process 195, arrives at cpu.
At time 9312, process 195, exits the cpu.
At time 9312, process 195, exits the SYSTEM.
At time 9326, process 196, arrival.
At time 9326, process 196, arrives at cpu.
At time 9345, process 196, exits the cpu.
At time 9345, process 196, exits the SYSTEM.
At time 9346, process 194, exits the disk1.
At time 9346, process 194, arrives at cpu.
At time 9354, process 197, arrival.
At time 9396, process 194, exits the cpu.
At time 9396, process 194, exits the SYSTEM.
At time 9396, process 197, arrives at cpu.
At time 9409, process 198, arrival.
At time 9439, process 197, exits the cpu.
At time 9439, process 198, arrives at cpu.
At time 9457, process 18, exits the network.
At time 9457, process 60, arrives at network.
At time 9468, process 198, exits the cpu.
At time 9468, process 198, arrives at disk1.
At time 9468, process 18, arrives at cpu.
At time 9472, process 199, arrival.
At time 9491, process 18, exits the cpu.
At time 9491, process 18, exits the SYSTEM.
At time 9491, process 199, arrives at cpu.
At time 9503, process 200, arrival.
At time 9524, process 199, exits the cpu.
At time 9524, process 200, arrives at cpu.
At time 9530, process 200, exits the cpu.
At time 9530, process 200, arrives at disk2.
At time 9535, process 201, arrival.
At time 9535, process 201, arrives at cpu.
At time 9570, process 201, exits the cpu.
At time 9570, process 201, exits the SYSTEM.
At time 9586, process 200, exits the disk2.
At time 9586, process 200, arrives at cpu.
At time 9608, process 202, arrival.
At time 9619, process 200, exits the cpu.
At time 9619, process 200, exits the SYSTEM.
At time 9619, process 202, arrives at cpu.
At time 9621, process 198, exits the disk1.
At time 9636, process 203, arrival.
At time 9660, process 202, exits the cpu.
At time 9660, process 202, exits the SYSTEM.
At time 9660, process 198, arrives at cpu.
At time 9661, process 204, arrival.
At time 9672, process 198, exits the cpu.
At time 9672, process 198, exits the SYSTEM.
At time 9672, process 203, arrives at cpu.
At time 9699, process 203, exits the cpu.
At time 9699, process 203, exits the SYSTEM.
At time 9699, process 204, arrives at cpu.
At time 9703, process 205, arrival.
At time 9734, process 204, exits the cpu.
At time 9734, process 204, exits the SYSTEM.
At time 9734, process 205, arrives at cpu.
At time 9742, process 205, exits the cpu.
At time 9783, process 206, arrival.
At time 9783, process 206, arrives at cpu.
At time 9793, process 206, exits the cpu.
At time 9822, process 207, arrival.
At time 9822, process 207, arrives at cpu.
At time 9861, process 208, arrival.
At time 9865, process 207, exits the cpu.
At time 9865, process 207, exits the SYSTEM.
At time 9865, process 208, arrives at cpu.
At time 9907, process 208, exits the cpu.
At time 9907, process 208, exits the SYSTEM.
At time 9938, process 60, exits the network.
At time 9938, process 60, arrives at cpu.
At time 9938, process 71, arrives at network.
At time 9941, process 209, arrival.
At time 9969, process 60, exits the cpu.
At time 9969, process 60, arrives at disk1.
At time 9969, process 209, arrives at cpu.
At time 9985, process 209, exits the cpu.
At time 9985, process 209, exits the SYSTEM.
At time 10000, simulation ENDS.
